,UNIQUE_ID,MOL_smiles,SMILES,LOG_HLM_CLint,LOG_RLM_CLint,LOG_MDR1-MDCK_ER,LOG_HPPB,LOG_RPPB,LOG_SOLUBILITY
0,b5e1231aef0080c76b4207ca1355485432877339,Brc1cc2c(cc1Cn1cncn1)OCCCO2,Brc1cc2c(cc1Cn1cncn1)OCCCO2,0.886265059,2.357932942,-0.247517736,,,1.536432176
1,0604cf74e44450d5963d169e18854d96c4e5dba8,Brc1ccc(-c2nnc(Cn3cnc4ccccc43)o2)o1,Brc1ccc(-c2nnc(Cn3cnc4ccccc43)o2)o1,0.675686709,1.613704432,-0.01066854,,,1.797475288
2,c518badac8533fdb0de4679c17ce4035eab9ac28,Brc1cnc(N2CCCN(c3ccccc3)CC2)nc1,Brc1cnc(N2CCCN(c3ccccc3)CC2)nc1,2.081606511,3.753651376,,,,
3,9be43035e7b8a5078babf4345584f4dc6dcd1448,Brc1cnc2ccccc2c1,Brc1cnc2ccccc2c1,,,,,,-0.033858267
4,57b907f2f455c3ce3ba21114f32f93b301c99a34,Brc1nnc(N2CCC(OC3CCCC3)CC2)s1,Brc1nnc(N2CCC(OC3CCCC3)CC2)s1,1.888409783,3.492200892,-0.235023682,,,
5,70ac5fbe7181b1fce36dbaedaedcd3cdeb4fdf82,C#CCN1CCC(c2nc(Cc3noc(C)n3)no2)CC1,C#CCN1CCC(c2nc(Cc3noc(C)n3)no2)CC1,0.675686709,1.10710817,-0.135635396,,,1.695043659
6,e9cafc1522a01017509e0fda082d84676cdc1f5e,C#CCN1CCC[C@H]1C(=O)Nc1cnn(-c2ncccn2)c1,C#CCN1CCC[C@H]1C(=O)Nc1cnn(-c2ncccn2)c1,0.675686709,1.921166051,0.596580622,,,1.653983907
7,d47055d42fd921303174106f394a4c1684642f6d,C#CCN1CCN(C(=O)CCS(C)(=O)=O)CC1,C#CCN1CCN(C(=O)CCS(C)(=O)=O)CC1,0.675686709,1.027920136,,,,1.867762025
8,72e6d95ea25abebc337b65e614045c941440e2b4,C#CCN1CCN(Cc2nc(O)cc(C(F)(F)F)n2)CC1,C#CCN1CCN(Cc2nc(O)cc(C(F)(F)F)n2)CC1,0.675686709,1.027920136,,,,1.632659713
9,a88d501e8e97b611f0b235b5d6cd8fb325a5b5fa,C#CCNC(=O)CCc1c(C)nn(C)c1C,C#CCNC(=O)CCc1c(C)nn(C)c1C,0.675686709,1.027920136,0.901164925,,,1.784831178
10,9b0ff5b1c76d8f6ae4eb4cb22d30d8c0bd6770dd,C#CCNC(=O)CN1C(=O)c2ccccc2C1=O,C#CCNC(=O)CN1C(=O)c2ccccc2C1=O,,,,,,1.589837943
11,c21666b9526bc2489f66314b59b1430d198633f8,C#CCNC(=O)CN1CCCN(C(=O)c2cccc(C)n2)CC1,C#CCNC(=O)CN1CCCN(C(=O)c2cccc(C)n2)CC1,0.675686709,1.194764024,1.512232302,,,1.562530769
12,a98b67517d8e3368f963ff51a562091b0a5c91f8,C#CCNC(=O)Cc1coc(-c2ccccc2)n1,C#CCNC(=O)Cc1coc(-c2ccccc2)n1,1.430268606,2.150805545,-0.143320722,,,
13,756defe4d4f7a7a7c0d95b78e8bb83537f3d833f,C#CCNC(=O)Cc1coc2cc(OC)ccc12,C#CCNC(=O)Cc1coc2cc(OC)ccc12,1.188647296,2.263446689,-0.189636069,,,1.751587005
14,c2f8cdb847d81878493e3c2d80414404dd23956c,C#CCNC(=O)N(Cc1ccccc1F)C1CCOCC1,C#CCNC(=O)N(Cc1ccccc1F)C1CCOCC1,0.675686709,1.549799964,0.332467729,,,
15,62a7f0eb27865b27f269aec5e11dc33c9806e955,C#CCNC(=O)c1cc(C(C)C)nn1CC,C#CCNC(=O)c1cc(C(C)C)nn1CC,0.675686709,1.094610863,-0.067999286,,,1.454082271
16,c1616235f49886b3e66b147ac8e280968a0bc4d8,C#CCNC(=O)c1ccc(OC)c(OC)c1,C#CCNC(=O)c1ccc(OC)c(OC)c1,,,,,,1.42975228
